id,segment,word,count
FdZC6sbAFU4,3,home,1
FdZC6sbAFU4,4,away,1
FdZC6sbAFU4,4,happen,1
FdZC6sbAFU4,4,power,2
FdZC6sbAFU4,4,like,1
FdZC6sbAFU4,4,election,2
FdZC6sbAFU4,4,result,1
FdZC6sbAFU4,4,vice,1
FdZC6sbAFU4,4,president,2
FdZC6sbAFU4,4,open,1
FdZC6sbAFU4,4,envelope,1
FdZC6sbAFU4,4,steal,1
FdZC6sbAFU4,4,people,2
FdZC6sbAFU4,4,lot,1
FdZC6sbAFU4,4,hear,1
FdZC6sbAFU4,4,trump,1
FdZC6sbAFU4,4,hurt,1
FdZC6sbAFU4,4,home,1
FdZC6sbAFU4,4,law,2
FdZC6sbAFU4,4,order,2
FdZC6sbAFU4,4,respect,1
FdZC6sbAFU4,4,great,1
FdZC6sbAFU4,4,want,1
FdZC6sbAFU4,4,anybody,1
FdZC6sbAFU4,4,tough,1
FdZC6sbAFU4,4,period,1
FdZC6sbAFU4,4,time,3
FdZC6sbAFU4,4,thing,1
FdZC6sbAFU4,4,country,1
FdZC6sbAFU4,4,weaving,1
FdZC6sbAFU4,4,message,1
FdZC6sbAFU4,4,notice,1
FdZC6sbAFU4,4,maintain,1
FdZC6sbAFU4,4,deny,1
FdZC6sbAFU4,4,rightful,1
FdZC6sbAFU4,4,legal,1
FdZC6sbAFU4,4,whip,1
FdZC6sbAFU4,4,believe,2
FdZC6sbAFU4,4,overturn,1
FdZC6sbAFU4,4,penny,1
FdZC6sbAFU4,4,person,1
FdZC6sbAFU4,4,set,1
FdZC6sbAFU4,4,aside,1
FdZC6sbAFU4,4,pat,1
FdZC6sbAFU4,4,winner,1
FdZC6sbAFU4,4,clear,1
FdZC6sbAFU4,4,matter,1
FdZC6sbAFU4,5,capitol,1
FdZC6sbAFU4,5,step,1
FdZC6sbAFU4,5,inside,1
FdZC6sbAFU4,5,today,1
FdZC6sbAFU4,5,suggest,1
FdZC6sbAFU4,5,constitution,1
FdZC6sbAFU4,5,congress,1
FdZC6sbAFU4,5,election,1
FdZC6sbAFU4,5,result,2
FdZC6sbAFU4,5,state,1
FdZC6sbAFU4,5,20th,1
FdZC6sbAFU4,5,outside,1
FdZC6sbAFU4,5,supporter,1
FdZC6sbAFU4,5,tell,2
FdZC6sbAFU4,5,people,2
FdZC6sbAFU4,5,way,1
FdZC6sbAFU4,5,sort,1
FdZC6sbAFU4,5,hear,2
FdZC6sbAFU4,5,trump,1
FdZC6sbAFU4,5,believe,1
FdZC6sbAFU4,5,overturn,2
FdZC6sbAFU4,5,loyalty,1
FdZC6sbAFU4,5,mr,1
FdZC6sbAFU4,5,pinch,1
FdZC6sbAFU4,5,continue,1
FdZC6sbAFU4,5,grind,1
FdZC6sbAFU4,5,inevitable,1
FdZC6sbAFU4,5,extremely,1
FdZC6sbAFU4,5,angry,1
FdZC6sbAFU4,5,speak,1
FdZC6sbAFU4,5,righteous,1
FdZC6sbAFU4,5,stand,1
FdZC6sbAFU4,5,tyranny,1
FdZC6sbAFU4,5,revolution,1
FdZC6sbAFU4,5,illegitimate,1
FdZC6sbAFU4,5,legitimate,1
FdZC6sbAFU4,5,force,1
FdZC6sbAFU4,5,moment,1
FdZC6sbAFU4,5,easy,1
FdZC6sbAFU4,5,think,1
FdZC6sbAFU4,5,mob,1
FdZC6sbAFU4,5,attempt,1
FdZC6sbAFU4,5,unseat,1
FdZC6sbAFU4,5,democracy,1
FdZC6sbAFU4,5,handful,1
FdZC6sbAFU4,5,try,1
FdZC6sbAFU4,5,feature,1
FdZC6sbAFU4,6,happen,1
FdZC6sbAFU4,6,police,1
FdZC6sbAFU4,6,step,1
FdZC6sbAFU4,6,today,1
FdZC6sbAFU4,6,constitution,2
FdZC6sbAFU4,6,peaceful,1
